x_mm;z_mm;V;U;W
23.5243278;-77.37605357;0.000352297;0.048518003;-0.021199803
23.5243278;-75.81143682;0.000346832;0.050839077;-0.02248089
23.5243278;-74.24682006;3.98E-06;0.054282788;-0.029845632
23.5243278;-72.68220331;-0.000690381;0.059092235;-0.037069256
23.5243278;-71.11758656;-0.001275534;0.06385329;-0.041207746
23.5243278;-69.5529698;-0.00117861;0.069895482;-0.048013779
23.5243278;-67.98835305;-0.000757645;0.075939249;-0.056198903
23.5243278;-66.42373629;-0.000722225;0.080294756;-0.065175565
23.5243278;-64.85911954;-0.000401951;0.086281674;-0.076145079
23.5243278;-63.29450278;-0.000267231;0.092373952;-0.082882735
23.5243278;-61.72988603;-0.00016074;0.09817622;-0.086901452
23.5243278;-60.16526927;-0.000189368;0.10146591;-0.092304594
23.5243278;-58.60065252;-0.000599029;0.100041594;-0.092213359
23.5243278;-57.03603576;-0.000253902;0.107418743;-0.107932939
23.5243278;-55.47141901;0.000215314;0.113295676;-0.114582065
23.5243278;-53.90680226;0.000512242;0.116233557;-0.116891636
23.5243278;-52.3421855;0.000773887;0.120633827;-0.122249058
23.5243278;-50.77756875;0.001195472;0.123128943;-0.130439635
23.5243278;-49.21295199;0.001641331;0.127950317;-0.137640208
23.5243278;-47.64833524;0.001811885;0.133238744;-0.139674961
23.5243278;-46.08371848;0.002031678;0.136774527;-0.143373235
23.5243278;-44.51910173;0.002476843;0.139448742;-0.147018601
23.5243278;-42.95448497;0.002744783;0.141759918;-0.144634016
23.5243278;-41.38986822;0.002686823;0.14497529;-0.140344444
23.5243278;-39.82525147;0.00275737;0.148352932;-0.138097343
23.5243278;-38.26063471;0.002914608;0.150498501;-0.135830108
23.5243278;-36.69601796;0.003265434;0.153161723;-0.136156577
23.5243278;-35.1314012;0.00366507;0.1564602;-0.137020138
23.5243278;-33.56678445;0.00364289;0.158679936;-0.133694756
23.5243278;-32.00216769;0.003470561;0.161006597;-0.135308754
23.5243278;-30.43755094;0.003649715;0.163727426;-0.138114379
23.5243278;-28.87293418;0.003970537;0.16502446;-0.136856033
23.5243278;-27.30831743;0.003430184;0.167876731;-0.126087221
23.5243278;-25.74370068;0.002806317;0.170047133;-0.12404701
23.5243278;-24.17908392;0.002652802;0.173498578;-0.124878787
23.5243278;-22.61446717;0.002886508;0.175935059;-0.122951504
23.5243278;-21.04985041;0.002952321;0.175754932;-0.120993441
23.5243278;-19.48523366;0.003357117;0.174940009;-0.118597034
23.5243278;-17.9206169;0.005612508;0.17500486;-0.116403712
23.5243278;-16.35600015;0.010090429;0.175775431;-0.116895155
23.5243278;-14.79138339;0.018721494;0.175706278;-0.12507383
23.5243278;-13.22676664;0.035467893;0.176008578;-0.147040017
23.5243278;-11.66214988;0.060957811;0.175262666;-0.184934154
23.5243278;-10.09753313;0.098512638;0.170923981;-0.259945639
23.5243278;-8.532916376;0.135299089;0.160186344;-0.347432544
23.5243278;-6.968299621;0.151483049;0.098764734;-0.440295591
23.5243278;-5.403682867;0.199243257;0.029972714;-0.668131891
23.5243278;-3.839066112;0.209692039;0.029008326;-0.666712763
23.5243278;-2.274449358;0.191177415;0.02372239;-0.607893795
23.5243278;-0.709832603;0.15986598;0.010226281;-0.508559511
23.5243278;0.854784151;0.137045572;0.010224491;-0.435969148
23.5243278;2.419400906;0.148977399;0.019973927;-0.473716215
23.5243278;3.98401766;0.18565547;0.02767361;-0.590285977
23.5243278;5.548634415;0.206454617;0.025127864;-0.6403998
23.5243278;7.113251169;0.183039874;-0.06456285;-0.505739476
23.5243278;8.677867924;0.152627795;-0.107164005;-0.414924833
23.5243278;10.24248468;0.116082178;-0.134020956;-0.327560259
23.5243278;11.80710143;0.077631281;-0.150813724;-0.247764547
23.5243278;13.37171819;0.050280541;-0.161687184;-0.196877005
23.5243278;14.93633494;0.03462928;-0.168027296;-0.172220034
23.5243278;16.5009517;0.025047132;-0.168580237;-0.159728433
23.5243278;18.06556845;0.019591085;-0.167772447;-0.154385033
23.5243278;19.6301852;0.016774995;-0.165900549;-0.152352526
23.5243278;21.19480196;0.015253145;-0.163712289;-0.151272426
23.5243278;22.75941871;0.012904544;-0.162193781;-0.146465612
23.5243278;24.32403547;0.010243963;-0.160316441;-0.141762117
23.5243278;25.88865222;0.009695919;-0.155334561;-0.144222877
23.5243278;27.45326898;0.009686503;-0.153301042;-0.148234872
23.5243278;29.01788573;0.007588685;-0.15158284;-0.146179082
