x_m,y_m,z_m,U,V,W
0.0391214,0.0,0.0251573,-0.0003225,0.0005081,0.0559518
0.0391214,0.0,0.0267219,-0.0003225,0.0005081,0.0559518
0.0391214,0.0,0.0282865,-0.0003321,0.0005313,0.0595897
0.0391214,0.0,0.0298511,-0.0003412,0.0005549,0.0633829
0.0391214,0.0,0.0314157,-0.0003498,0.0005789,0.0673305
0.0391214,0.0,0.0329804,-0.0003498,0.0005789,0.0673305
0.0391214,0.0,0.034545,-0.0003576,0.0006031,0.07143
0.0391214,0.0,0.0361096,-0.0003645,0.0006275,0.0756772
0.0391214,0.0,0.0376742,-0.0003895,0.0006401,0.0800661
0.0391214,0.0,0.0392388,-0.0003895,0.0006401,0.0800661
0.0391214,0.0,0.0408034,-0.000395,0.0006644,0.0845885
0.0391214,0.0,0.0423681,-0.0003992,0.0006886,0.0892341
0.0391214,0.0,0.0439327,-0.000402,0.0007127,0.0939902
0.0391214,0.0,0.0454973,-0.0004031,0.0007364,0.0988418
0.0391214,0.0,0.0470619,-0.0004031,0.0007364,0.0988418
0.0391214,0.0,0.0486265,-0.0004024,0.0007597,0.103771
0.0391214,0.0,0.0501911,-0.0003997,0.0007825,0.1087576
0.0391214,0.0,0.0517558,-0.000395,0.0008047,0.1137788
0.0391214,0.0,0.0533204,-0.000395,0.0008047,0.1137788
0.0391214,0.0,0.054885,-0.0003881,0.0008262,0.1188091
0.0391214,0.0,0.0564496,-0.0003536,0.0008589,0.12382
0.0391214,0.0,0.0580142,-0.0003414,0.0008786,0.1287829
0.0391214,0.0,0.0595789,-0.0003414,0.0008786,0.1287829
0.0391214,0.0,0.0611435,-0.0003267,0.0008974,0.1336655
0.0391214,0.0,0.0627081,-0.0003097,0.0009153,0.1384349
0.0391214,0.0,0.0642727,-0.0002905,0.0009321,0.1430563
0.0391214,0.0,0.0658373,-0.0002905,0.0009321,0.1430563
0.0391214,0.0,0.0674019,-0.0002693,0.0009479,0.1474957
0.0391214,0.0,0.0689666,-0.0002467,0.0009619,0.1517165
0.0391214,0.0,0.0705312,-0.0002292,0.0009699,0.1546917
0.0391214,0.0,0.0720958,-0.0002176,0.0009736,0.1565977
0.0391214,0.0,0.0736604,-0.0001961,0.0009729,0.1601856
0.0391214,0.0,0.075225,-0.0001827,0.0009773,0.1618511
0.0391214,0.0,0.0767896,-0.0001488,0.001001,0.1649006
0.0391214,0.0,0.0783543,-0.0001289,0.0010182,0.1662698
0.0391214,0.0,0.0799189,-8.38e-05,0.0010615,0.1686608
0.0391214,0.0,0.0814835,-5.84e-05,0.0010888,0.1696651
0.0391214,0.0,0.0830481,-0.0,0.0011636,0.1712365
0.0391214,0.0,0.0846127,3.39e-05,0.0012174,0.1717757
0.0391214,0.0,0.0861773,0.0001157,0.0013837,0.1722717
0.0391214,0.0,0.0877419,0.0001668,0.0015122,0.1721802
0.0391214,0.0,0.0893066,0.0003117,0.0019138,0.1711308
0.0391214,0.0,0.0908712,0.0003325,0.0021972,0.1700596
0.0391214,0.0,0.0924358,0.0006885,0.0030829,0.1658784
0.0391214,0.0,0.0940004,0.0007738,0.0039745,0.1604312
0.0391214,0.0,0.095565,0.0016658,0.0045158,0.1443879
0.0391214,0.0,0.0971296,0.0022826,0.0068422,0.1314682
0.0391214,0.0,0.0986943,0.0034559,0.0069172,0.0992084
0.0391214,0.0,0.1002589,0.0039757,0.0072322,0.0773079
0.0391214,0.0,0.1018235,0.0045568,0.0083518,0.0219051
0.0391214,0.0,0.1033881,0.0046658,0.0081097,-0.008812
0.0391214,0.0,0.1049527,0.0040685,0.0079171,-0.065636
0.0391214,0.0,0.1065173,0.003552,0.0082355,-0.088796
0.0391214,0.0,0.108082,0.0023817,0.0079146,-0.1239712
0.0391214,0.0,0.1096466,0.0018273,0.0060812,-0.1382336
0.0391214,0.0,0.1112112,0.000877,0.0049558,-0.156866
0.0391214,0.0,0.1127758,0.0006123,0.003975,-0.1636798
0.0391214,0.0,0.1143404,0.0001695,0.0029137,-0.1710144
0.0391214,0.0,0.115905,2.86e-05,0.0024947,-0.173453
0.0391214,0.0,0.1174697,-0.0001483,0.0019292,-0.176762
0.0391214,0.0,0.1190343,-0.0002012,0.0017654,-0.1777608
0.0391214,0.0,0.1205989,-8.68e-05,0.0014875,-0.1784455
0.0391214,0.0,0.1221635,-0.0002826,0.001539,-0.1786079
0.0391214,0.0,0.1237281,-0.0002415,0.0016586,-0.1781555
0.0391214,0.0,0.1252928,-0.0003175,0.0014634,-0.1768451
0.0391214,0.0,0.1268574,-0.0002801,0.0015107,-0.1757371
0.0391214,0.0,0.128422,-0.000343,0.001423,-0.1730673
0.0391214,0.0,0.1299866,-0.0003516,0.0014112,-0.1714411
0.0391214,0.0,0.1315512,-0.0003075,0.0013745,-0.1685969
0.0391214,0.0,0.1331158,-0.0003835,0.0013717,-0.1647443
0.0391214,0.0,0.1346805,-0.0003835,0.0013717,-0.1647443
0.0391214,0.0,0.1362451,-0.0003959,0.0013608,-0.1603893
0.0391214,0.0,0.1378097,-0.0004119,0.0013449,-0.155738
0.0391214,0.0,0.1393743,-0.000425,0.0013259,-0.1508295
0.0391214,0.0,0.1409389,-0.0004375,0.0013062,-0.1457016
0.0391214,0.0,0.1425035,-0.0004375,0.0013062,-0.1457016
0.0391214,0.0,0.1440682,-0.0004478,0.001286,-0.1403876
0.0391214,0.0,0.1456328,-0.0004566,0.0012658,-0.1349216
0.0391214,0.0,0.1471974,-0.0004633,0.0012458,-0.1293395
0.0391214,0.0,0.148762,-0.000468,0.0012301,-0.1279411
0.0391214,0.0,0.1503266,-0.0004681,0.0012262,-0.1236753
0.0391214,0.0,0.1518912,-0.0004711,0.0012072,-0.1179609
0.0391214,0.0,0.1534559,-0.0004723,0.0011891,-0.1122247
0.0391214,0.0,0.1550205,-0.0004732,0.0013278,-0.1076999
0.0391214,0.0,0.1565851,-0.0004721,0.0011718,-0.1064928
0.0391214,0.0,0.1581497,-0.000436,0.0011682,-0.1007877
0.0391214,0.0,0.1597143,-0.000434,0.0011526,-0.0951299
0.0391214,0.0,0.1612789,-0.0004311,0.0011379,-0.0895366
0.0391214,0.0,0.1628436,-0.0004414,0.0011761,-0.0887955
0.0391214,0.0,0.1644082,-0.0004276,0.001124,-0.0840224
0.0391214,0.0,0.1659728,-0.0004235,0.0011107,-0.078597
0.0391214,0.0,0.1675374,-0.000419,0.0010981,-0.0732679
0.0391214,0.0,0.169102,-0.0004898,0.0012516,-0.0696878
0.0391214,0.0,0.1706666,-0.000414,0.0010859,-0.0680432
0.0391214,0.0,0.1722313,-0.0004088,0.0010744,-0.0629291
0.0391214,0.0,0.1737959,-0.0004034,0.0010634,-0.0579297
0.0391214,0.0,0.1753605,-0.0003977,0.0010529,-0.0530467
0.0391214,0.0,0.1769251,-0.0003977,0.0010529,-0.0530467
0.0391214,0.0,0.1784897,-0.000392,0.001043,-0.0482797
0.0391214,0.0,0.1800543,-0.0003864,0.0010338,-0.0436267
0.0391214,0.0,0.181619,-0.0003808,0.0010253,-0.0390836
0.0391214,0.0,0.1831836,-0.0003808,0.0010253,-0.0390836
0.0391214,0.0,0.1847482,-0.0003754,0.0010175,-0.0346452
0.0391214,0.0,0.1863128,-0.0003703,0.0010104,-0.0303049
0.0391214,0.0,0.1878774,-0.0003655,0.0010042,-0.026055
0.0391214,0.0,0.189442,-0.0003655,0.0010042,-0.026055
0.0391214,0.0,0.1910067,-0.0003611,0.0009988,-0.021887
0.0391214,0.0,0.1925713,-0.0003572,0.0009942,-0.0177919
0.0391214,0.0,0.1941359,-0.0003539,0.0009905,-0.0137596
0.0391214,0.0,0.1957005,-0.0003539,0.0009905,-0.0137596
0.0391214,0.0,0.1972651,-0.0003511,0.0009878,-0.0097811
0.0391214,0.0,0.1988297,-0.0003489,0.000986,-0.0058439
0.0391214,0.0,0.2003944,-0.0003473,0.000985,-0.0019422
0.0406811,0.0,0.0251573,-0.0003281,0.0005153,0.0543919
0.0406811,0.0,0.0267219,-0.0003281,0.0005153,0.0543919
0.0406811,0.0,0.0282865,-0.0003381,0.000539,0.057979
0.0406811,0.0,0.0298511,-0.0003476,0.0005631,0.0617243
0.0406811,0.0,0.0314157,-0.0003565,0.0005875,0.0656273
0.0406811,0.0,0.0329804,-0.0003565,0.0005875,0.0656273
0.0406811,0.0,0.034545,-0.0003647,0.0006122,0.0696858
0.0406811,0.0,0.0361096,-0.0003906,0.0006252,0.0738963
0.0406811,0.0,0.0376742,-0.0003976,0.0006499,0.0782529
0.0406811,0.0,0.0392388,-0.0003976,0.0006499,0.0782529
0.0406811,0.0,0.0408034,-0.0004035,0.0006747,0.0827479
0.0406811,0.0,0.0423681,-0.000408,0.0006995,0.0873714
0.0406811,0.0,0.0439327,-0.0004111,0.000724,0.0921109
0.0406811,0.0,0.0454973,-0.0004125,0.0007482,0.0969513
0.0406811,0.0,0.0470619,-0.0004125,0.0007482,0.0969513
0.0406811,0.0,0.0486265,-0.000412,0.000772,0.101875
0.0406811,0.0,0.0501911,-0.0004096,0.0007953,0.1068614
0.0406811,0.0,0.0517558,-0.0004051,0.000818,0.1118876
0.0406811,0.0,0.0533204,-0.0004051,0.000818,0.1118876
0.0406811,0.0,0.054885,-0.0003983,0.0008399,0.1169276
0.0406811,0.0,0.0564496,-0.0003891,0.0008611,0.121953
0.0406811,0.0,0.0580142,-0.0003775,0.0008814,0.1269329
0.0406811,0.0,0.0595789,-0.0003775,0.0008814,0.1269329
0.0406811,0.0,0.0611435,-0.0003634,0.0009007,0.1318345
0.0406811,0.0,0.0627081,-0.0003193,0.0009309,0.1366209
0.0406811,0.0,0.0642727,-0.0002999,0.0009481,0.1412593
0.0406811,0.0,0.0658373,-0.0002999,0.0009481,0.1412593
0.0406811,0.0,0.0674019,-0.0002785,0.0009641,0.1457113
0.0406811,0.0,0.0689666,-0.0002557,0.0009784,0.1499376
