x_m,y_m,z_m,U,V,W
0.0391214362,0.0,0.0251572798,-0.018523315,-0.018739482,0.037286084
0.0391214362,0.0,0.0267218965,-0.019456933,-0.016512978,0.039999806
0.0391214362,0.0,0.0282865133,-0.020266555,-0.017647841,0.045342819
0.0391214362,0.0,0.02985113,-0.019784519,-0.029839222,0.050989697
0.0391214362,0.0,0.0314157468,-0.019971321,-0.035338761,0.055633131
0.0391214362,0.0,0.0329803635,-0.020463846,-0.03831142,0.061196249
0.0391214362,0.0,0.0345449803,-0.020164814,-0.04276244,0.065560285
0.0391214362,0.0,0.036109597,-0.019494509,-0.053620624,0.070086706
0.0391214362,0.0,0.0376742138,-0.019531098,-0.065029872,0.073752507
0.0391214362,0.0,0.0392388306,-0.019969398,-0.073986556,0.07843805
0.0391214362,0.0,0.0408034473,-0.019495446,-0.085428497,0.082297692
0.0391214362,0.0,0.0423680641,-0.019276932,-0.094572296,0.084612412
0.0391214362,0.0,0.0439326808,-0.020011096,-0.097209514,0.08918547
0.0391214362,0.0,0.0454972976,-0.019874723,-0.102628996,0.097310674
0.0391214362,0.0,0.0470619143,-0.018992958,-0.113644432,0.104165077
0.0391214362,0.0,0.0486265311,-0.018673915,-0.123050291,0.106747725
0.0391214362,0.0,0.0501911478,-0.018788688,-0.128220413,0.110035438
0.0391214362,0.0,0.0517557646,-0.018766812,-0.130705975,0.114249507
0.0391214362,0.0,0.0533203813,-0.017877757,-0.137337702,0.120066089
0.0391214362,0.0,0.0548849981,-0.017218943,-0.142309585,0.125212809
0.0391214362,0.0,0.0564496149,-0.016454525,-0.151606124,0.129670535
0.0391214362,0.0,0.0580142316,-0.015495904,-0.158080982,0.132286289
0.0391214362,0.0,0.0595788484,-0.015172734,-0.157402341,0.135727358
0.0391214362,0.0,0.0611434651,-0.014964374,-0.152496353,0.138541588
0.0391214362,0.0,0.0627080819,-0.013839363,-0.150225938,0.141458251
0.0391214362,0.0,0.0642726986,-0.012089565,-0.150544435,0.144459393
0.0391214362,0.0,0.0658373154,-0.011055388,-0.150911175,0.148206195
0.0391214362,0.0,0.0674019321,-0.010562788,-0.153080786,0.151362047
0.0391214362,0.0,0.0689665489,-0.009491234,-0.156033227,0.153414436
0.0391214362,0.0,0.0705311656,-0.008645669,-0.153785162,0.156188506
0.0391214362,0.0,0.0720957824,-0.008428929,-0.148085193,0.157347724
0.0391214362,0.0,0.0736603992,-0.007523403,-0.143497939,0.158628783
0.0391214362,0.0,0.0752250159,-0.005368759,-0.138080023,0.160914367
0.0391214362,0.0,0.0767896327,-0.003761819,-0.131965293,0.164153544
0.0391214362,0.0,0.0783542494,-0.002669476,-0.128198885,0.164660536
0.0391214362,0.0,0.0799188662,-0.001621417,-0.123224297,0.167107013
0.0391214362,0.0,0.0814834829,-3.11e-05,-0.117681837,0.166880652
0.0391214362,0.0,0.0830480997,0.00378768,-0.113809714,0.167483402
0.0391214362,0.0,0.0846127164,0.009263639,-0.118382543,0.167941455
0.0391214362,0.0,0.0861773332,0.016846588,-0.125381722,0.169949683
0.0391214362,0.0,0.0877419499,0.029488412,-0.135854909,0.1699655
0.0391214362,0.0,0.0893065667,0.048031938,-0.157099487,0.174216004
0.0391214362,0.0,0.0908711835,0.074765589,-0.199887227,0.178654844
